term_id,lang,term,reltype,related_term_id,related_lang,related_term,position,group_tag,parent_tag,parent_position
ZN-AOGrDUmOM2SXV3SOA0Q,English,book,inherited_from,eQBzDQoiUEiYTdBCOk-1lw,Middle English,bok,0,,fbzwdT-cR0m3vkiUBOf8Yg,0.0
ZN-AOGrDUmOM2SXV3SOA0Q,English,book,inherited_from,hld3oaJFX2WelYHi6PZ2EQ,Old English,bōc,0,,ziZmAEtRTZKHce6hw6ZRYA,0.0
ZN-AOGrDUmOM2SXV3SOA0Q,English,book,inherited_from,Z73pva8uXHqGeMKeHX9LHA,Proto-West Germanic,*bōk,0,,ziZmAEtRTZKHce6hw6ZRYA,1.0
ZN-AOGrDUmOM2SXV3SOA0Q,English,book,inherited_from,N0jDnjv2WZywv4lUtqMsAw,Proto-Germanic,*bōks,0,,ziZmAEtRTZKHce6hw6ZRYA,2.0
ZN-AOGrDUmOM2SXV3SOA0Q,English,book,inherited_from,7WxEBEgEU7eZIfms0yrzWw,Middle English,booken,0,,kLpZZjhhShixE_D5-K6k0w,0.0
ZN-AOGrDUmOM2SXV3SOA0Q,English,book,inherited_from,ErgP_qIrWn6g-fxUUhQQaw,Old English,bōcian,0,,zjrhpmCeRn6l7f1DJuFM8A,0.0
ZN-AOGrDUmOM2SXV3SOA0Q,English,book,inherited_from,v6z91GuuXBOfWobsSxCiwA,Middle English,book,0,,FaF9Vw_tQBWlZ8byp8Pr8Q,0.0
ZN-AOGrDUmOM2SXV3SOA0Q,English,book,inherited_from,hld3oaJFX2WelYHi6PZ2EQ,Old English,bōc,0,,si8n-EzsRNiFm25w80QVvw,0.0
ZN-AOGrDUmOM2SXV3SOA0Q,English,book,inherited_from,SvgXxkEUXX2qhYgeF2B0xA,Proto-Germanic,*bōk,0,,si8n-EzsRNiFm25w80QVvw,1.0
NSpgE_eIU1e859Kf1SdU-A,English,pond,inherited_from,xlevT890XYuyPhdoW2DIMg,Middle English,pond,0,,chwA6Rn1RvGIE37AMNSvTQ,0.0
NSpgE_eIU1e859Kf1SdU-A,English,pond,inherited_from,mIR3WR6dWkupC1Rhn2reWQ,Old English,*pond,0,,iZd9OwgsQIy9YQgXPI4EPQ,0.0
dtI2JH6sXQyqG87nJOivWA,English,pound,inherited_from,5-aUiKdeXUuNwnIx88dSLw,Middle English,pound,0,,K1g48Xo3T5Gha7gFUbo-uw,1.0
dtI2JH6sXQyqG87nJOivWA,English,pound,inherited_from,6me-vwA-UCWAaJHg1SHMjQ,Old English,pund,0,,K1g48Xo3T5Gha7gFUbo-uw,2.0
dtI2JH6sXQyqG87nJOivWA,English,pound,inherited_from,of-6jT8XXua7pALTJq9XDA,Proto-Germanic,*pundą,0,,K1g48Xo3T5Gha7gFUbo-uw,3.0
dtI2JH6sXQyqG87nJOivWA,English,pound,inherited_from,p2hYosnaWlKAm27hS7VuZg,Middle English,pounde,0,,u66egambTo-7F30MVLO6zA,0.0
dtI2JH6sXQyqG87nJOivWA,English,pound,inherited_from,6me-vwA-UCWAaJHg1SHMjQ,Old English,pund,0,,,
dtI2JH6sXQyqG87nJOivWA,English,pound,inherited_from,UV-QWQiPUZOvw6Mhs9so-A,Middle English,pounen,0,,bdg6F99lRVOmrfyR05YtVQ,0.0
dtI2JH6sXQyqG87nJOivWA,English,pound,inherited_from,IKyl04VLWvmSLXGethBPwg,Old English,pūnian,0,,bdg6F99lRVOmrfyR05YtVQ,1.0
dtI2JH6sXQyqG87nJOivWA,English,pound,inherited_from,8llZq4a5VSKv9weGznzByw,Proto-Germanic,*pūnōną,0,,bdg6F99lRVOmrfyR05YtVQ,2.0
TcS2lTQsVviO6hgRvRvgdQ,English,pie,inherited_from,94R5r6EJX8GhnxbQ9zyPJQ,Middle English,pye,0,,FkYcUbOuTEO0sRJETr3hLA,0.0
TcS2lTQsVviO6hgRvRvgdQ,English,pie,inherited_from,vXVFcPk9X2OY-S111WGYAw,Old English,*pīe,0,,,
TcS2lTQsVviO6hgRvRvgdQ,English,pie,inherited_from,94R5r6EJX8GhnxbQ9zyPJQ,Middle English,pye,0,,BxvnPcRMT_eMUr14ftl2DQ,1.0
Hwq0PRMgW6qyHkoNUIaqBA,English,cat,inherited_from,tfB8TgbUXH2_L7G5jiuOpQ,Middle English,cat,0,,TknPC3XFT6OrfFa-eO87DA,0.0
Hwq0PRMgW6qyHkoNUIaqBA,English,cat,inherited_from,3iQyicY1W26pF898jDEMNw,Old English,catt,0,,Zz8r9XXsTOSvY9o-ryxFcA,0.0
Hwq0PRMgW6qyHkoNUIaqBA,English,cat,inherited_from,mTBrRG8FWv6FDbcZtFXrYw,Proto-West Germanic,*kattu,0,,VA2UXRMbQHe8Dhr8ldq0RQ,0.0
Hwq0PRMgW6qyHkoNUIaqBA,English,cat,inherited_from,y2s2InBkV6Wfh5Er8D-fZA,Proto-Germanic,*kattuz,0,,VA2UXRMbQHe8Dhr8ldq0RQ,1.0
QpJ9h0UIVrW52jhQ0floYw,English,free,inherited_from,_sa1mSK7U-m1D2gvZb3GNQ,Middle English,free,0,,lNnm34uvST2JK3RkLkXXeA,0.0
QpJ9h0UIVrW52jhQ0floYw,English,free,inherited_from,PEzYcVgqUUWvRvwukPvg4w,Old English,frēo,0,,DVAwhhsAQX-545fQXvxUUA,0.0
QpJ9h0UIVrW52jhQ0floYw,English,free,inherited_from,a-QN1nCSUnKZBobEt8qtww,Proto-West Germanic,*frī,0,,DVAwhhsAQX-545fQXvxUUA,1.0
QpJ9h0UIVrW52jhQ0floYw,English,free,inherited_from,JA_Bpiv5WfyuVeSl29I2WA,Proto-Germanic,*frijaz,0,,DVAwhhsAQX-545fQXvxUUA,2.0
QpJ9h0UIVrW52jhQ0floYw,English,free,inherited_from,rIB__co2VMKhmih9RDs1Ew,Proto-Indo-European,*priHós,0,,DVAwhhsAQX-545fQXvxUUA,3.0
QpJ9h0UIVrW52jhQ0floYw,English,free,inherited_from,y0aIcXvJXbm5js4i7EQjug,Middle English,freen,0,,zwWR0yNlRTKdUcNdF8F-iw,0.0
QpJ9h0UIVrW52jhQ0floYw,English,free,inherited_from,X7HtaOyCV6CS31HwhSBlwg,Old English,frēon,0,,d3xWFwRURPWHiHAjraHHqA,0.0
QpJ9h0UIVrW52jhQ0floYw,English,free,inherited_from,IIyZMMTRXh-ICYFt7kriEQ,Proto-West Germanic,*frijōn,0,,VgZmnYHtTvug38GfaokzkQ,0.0
QpJ9h0UIVrW52jhQ0floYw,English,free,inherited_from,JjF5TPUpVC2WzXAgdjRN9A,Proto-Germanic,*frijōną,0,,VgZmnYHtTvug38GfaokzkQ,1.0
rTY3ykt9Uy-_YwlmWUY0tw,English,raven,inherited_from,4dpPQr0SVbqerMhV-7mx_g,Middle English,raven,0,,FZ-ijnPiRlGR3NsY1tAMzA,0.0
rTY3ykt9Uy-_YwlmWUY0tw,English,raven,inherited_from,sAjrPnSDUeuWISGPaDlnpA,Old English,hræfn,0,,MtMSGZL7SeayUKboehUtbA,0.0
rTY3ykt9Uy-_YwlmWUY0tw,English,raven,inherited_from,7t56IGxpUn2QG5hhXGFfvQ,Proto-West Germanic,*hrabn,0,,MtMSGZL7SeayUKboehUtbA,1.0
rTY3ykt9Uy-_YwlmWUY0tw,English,raven,inherited_from,tg1FeM_FUc-jo8GzRsKxbA,Proto-Germanic,*hrabnaz,0,,MtMSGZL7SeayUKboehUtbA,2.0
rTY3ykt9Uy-_YwlmWUY0tw,English,raven,inherited_from,p5FxTsQVVwKtGXNgh6lUkg,Middle English,ravene,0,,lGVETRJnTZG8L1Bj_NaDYw,0.0
4rWHed4DUf2hF3UCuYkwdQ,English,word,inherited_from,icgShM2PXaGHlHBqWlyIYA,Middle English,word,0,,_IctzmamQ_-KnbiSt9n56g,1.0
4rWHed4DUf2hF3UCuYkwdQ,English,word,inherited_from,mQW4UeSEWiuf17ShL2uT7Q,Old English,word,0,,_IctzmamQ_-KnbiSt9n56g,2.0
4rWHed4DUf2hF3UCuYkwdQ,English,word,inherited_from,gNhPVuJxVSmKl8yidTi2ig,Proto-West Germanic,*word,0,,_IctzmamQ_-KnbiSt9n56g,3.0
4rWHed4DUf2hF3UCuYkwdQ,English,word,inherited_from,i7eGvarAUP-T7tfsxPfOxw,Proto-Germanic,*wurdą,0,,_IctzmamQ_-KnbiSt9n56g,4.0
4rWHed4DUf2hF3UCuYkwdQ,English,word,inherited_from,5qarufW0WM6tXM1HVK90JQ,Proto-Indo-European,*werdʰh₁om,0,,_IctzmamQ_-KnbiSt9n56g,5.0
4rWHed4DUf2hF3UCuYkwdQ,English,word,inherited_from,Gp4Jb6CJWXyht7h39fHWTg,Middle English,worthen,0,,lSulsXL7R6iRB1CPJ2bQJA,1.0
4rWHed4DUf2hF3UCuYkwdQ,English,word,inherited_from,xFe9TOYmUvae5MoAleysuA,Old English,weorþan,0,,lSulsXL7R6iRB1CPJ2bQJA,2.0
4rWHed4DUf2hF3UCuYkwdQ,English,word,inherited_from,qnvIqPkGUxSgbiiMY4g3RQ,Proto-West Germanic,*werþan,0,,lSulsXL7R6iRB1CPJ2bQJA,3.0
4rWHed4DUf2hF3UCuYkwdQ,English,word,inherited_from,sdt93RpEVRK87GG84XYJHg,Proto-Germanic,*werþaną,0,,lSulsXL7R6iRB1CPJ2bQJA,4.0
BRKKL7ngUz2rzpkjvf5AWA,English,crow,inherited_from,J_wujEVoU0ehcrfBFadhfg,Middle English,crowe,0,,MqkxoXyTTKOk_fTW2G5luA,0.0
BRKKL7ngUz2rzpkjvf5AWA,English,crow,inherited_from,Top4UQtPXMiV9VmuYLlZlg,Old English,crāwe,0,,MqkxoXyTTKOk_fTW2G5luA,1.0
BRKKL7ngUz2rzpkjvf5AWA,English,crow,inherited_from,ANw8vfqSXquRZntpANBo2w,Proto-West Germanic,*krāā,0,,MqkxoXyTTKOk_fTW2G5luA,2.0
BRKKL7ngUz2rzpkjvf5AWA,English,crow,inherited_from,mCvaMEpFUb2D3kjTDVn_xw,Proto-Germanic,*krēǭ,0,,MqkxoXyTTKOk_fTW2G5luA,3.0
BRKKL7ngUz2rzpkjvf5AWA,English,crow,inherited_from,kZDVzQ_wUCOxEKN_F7MoSw,Middle English,crowen,0,,bFfa2SdGQ9KpMUThSTxGKA,0.0
BRKKL7ngUz2rzpkjvf5AWA,English,crow,inherited_from,vhY5nC_JVzmRZ7F0LHdGbg,Old English,crāwan,0,,bFfa2SdGQ9KpMUThSTxGKA,1.0
BRKKL7ngUz2rzpkjvf5AWA,English,crow,inherited_from,KSyt_1XCVECabKDsJR0yag,Proto-Germanic,*krēaną,0,,Wyo6ACY2RRejQQV0b_37aw,1.0
davnTGOxWc-Xgk206j61gA,English,December,inherited_from,DxmhWG9_WwyJTqwFSsQ7KA,Middle English,December,0,,HdgHwggfRuav2jXjScwVyQ,0.0
0ZYn72gbX_ikCTbg-E-Lhg,English,elephant,inherited_from,qPzMz3diXdWwbIZ00fBNZw,Middle English,elefant,0,,D0Vw4MgdQ9KIpLJt6bKqDg,0.0
ApdGVabzXUeF_CQDtO959A,English,February,inherited_from,KdsyQmKiVoeAXDKq5M0cvA,Middle English,Februarie,0,,QjoTJ44DQf6sS0niYn6v2g,0.0
tF6eHCsJWDquUr7pMHdsgg,English,January,inherited_from,b-l9PnckWfeCVWbJr5y1tA,Middle English,Januarie,0,,zKGlzCzXSA6e1uys_SsLMQ,0.0
KDYqWy45UFi8dV3ugue-iQ,English,march,inherited_from,bZjUP2xoXfK6F8BDSCSF6g,Middle English,marchen,0,,b2d4Xv3KR9OSi8YVkBq9kg,0.0
KDYqWy45UFi8dV3ugue-iQ,English,march,inherited_from,ZVVB3XMwUtKtjOSFgAzl6g,Old English,mearcian,0,,POEOY1cdSHqEoypwM-hogQ,1.0
KDYqWy45UFi8dV3ugue-iQ,English,march,inherited_from,KOxhz8DBURSqktBbs25EAw,Middle English,marche,0,,aDHb1QYbSySZiOLo_xdqNw,0.0
KDYqWy45UFi8dV3ugue-iQ,English,march,inherited_from,B_wUqka-U7CBaMerjAo32g,Middle English,merche,0,,wrxY1WGiSzGuHFA_XZhQlg,0.0
